MmbCode,Cluster,AnniPresenza,GareMedie,EtaUltima,AnniDaChurn
BFS012 ,0,4,25.75,85.0,1
BFT004 ,1,4,4.0,72.0,5
BFT005 ,1,1,1.0,67.0,2
BFT016 ,1,1,1.0,79.0,3
BFT021 ,4,1,1.0,20.0,6
BFY001 ,1,2,34.0,82.0,7
BFZ001 ,0,5,55.8,89.0,3
BGB007 ,4,1,1.0,17.0,6
BGC006 ,1,1,4.0,72.0,8
BGC033 ,1,3,37.0,76.0,6
BGC046 ,4,1,1.0,16.0,6
BGD005 ,1,1,5.0,88.0,6
BGD018 ,0,7,28.857142857142858,86.0,1
BGD027 ,4,1,1.0,19.0,7
BGG018 ,4,3,5.666666666666667,22.0,6
BGG019 ,0,6,14.5,68.0,1
BGL005 ,0,3,109.0,90.0,5
BGL033 ,1,1,5.0,97.0,8
BGL040 ,1,5,17.0,91.0,4
BGL056 ,1,4,41.0,78.0,5
BGL058 ,1,3,5.0,86.0,6
BGL078 ,1,1,1.0,82.0,6
BGL083 ,1,5,10.8,85.0,4
BGL089 ,4,2,1.5,20.0,7
BGL091 ,4,1,1.0,15.0,6
BGL093 ,4,1,1.0,23.0,6
BGL094 ,1,1,1.0,77.0,2
BGN010 ,1,3,2.0,85.0,6
BGN013 ,1,2,14.0,92.0,7
BGN021 ,1,3,4.333333333333333,84.0,2
BGN029 ,1,1,1.0,73.0,7
BGN030 ,1,4,24.75,90.0,5
BGN039 ,1,3,3.0,98.0,5
BGN043 ,4,1,93.0,29.0,6
BGN073 ,1,1,1.0,91.0,8
BGN088 ,0,6,21.5,80.0,2
BGN096 ,1,2,8.5,72.0,7
BGN106 ,1,2,20.0,75.0,1
BGP003 ,0,5,27.6,65.0,2
BGQ001 ,3,5,39.2,65.0,4
BGR008 ,0,8,53.75,79.0,1
BGR010 ,1,2,13.0,69.0,5
BGR013 ,0,4,10.0,67.0,3
BGR026 ,3,5,80.8,87.0,4
BGR032 ,0,8,68.75,87.0,1
BGR040 ,1,3,3.3333333333333335,72.0,4
BGR047 ,1,1,2.0,80.0,8
BGR061 ,1,2,4.5,73.0,3
BGR066 ,1,4,22.5,91.0,3
BGR070 ,1,4,9.25,43.0,5
BGR083 ,4,2,3.5,20.0,6
BGR084 ,1,2,11.0,73.0,3
BGS016 ,0,5,10.6,78.0,1
BGS018 ,4,2,1.0,38.0,3
BGT004 ,1,3,1.6666666666666667,86.0,3
BGT042 ,1,3,3.3333333333333335,73.0,5
BGT044 ,4,1,1.0,20.0,7
BGY001 ,0,6,33.0,86.0,2
BGZ003 ,1,1,2.0,60.0,5
BGZ005 ,1,2,27.0,91.0,7
BGZ018 ,1,2,5.0,97.0,6
BHZ001 ,0,6,56.0,77.0,2
BJG001 ,1,3,23.0,67.0,6
BJL001 ,0,7,6.142857142857143,89.0,2
BJT002 ,1,1,1.0,64.0,3
BJT003 ,4,1,1.0,18.0,8
BKR001 ,1,1,1.0,79.0,8
BKV001 ,1,1,1.0,86.0,5
BLB003 ,1,1,1.0,62.0,7
BLB016 ,1,4,28.75,78.0,5
BLB021 ,0,4,66.0,86.0,5
BLC007 ,0,3,20.0,76.0,6
BLC013 ,1,1,5.0,84.0,8
BLC018 ,0,6,27.333333333333332,85.0,2
BLC022 ,3,4,56.75,65.0,5
BLC028 ,1,2,1.0,86.0,6
BLC040 ,1,4,15.25,75.0,5
BLC041 ,1,1,3.0,73.0,6
BLC042 ,4,2,11.0,45.0,5
BLC054 ,1,3,5.333333333333333,88.0,6
BLC079 ,1,2,4.0,63.0,6
BLC098 ,1,2,18.0,96.0,6
BLC139 ,0,4,30.25,85.0,5
BLC156 ,0,6,19.333333333333332,77.0,2
BLC177 ,0,8,53.625,89.0,1
BLC178 ,0,8,13.125,71.0,1
BLC180 ,0,5,36.6,72.0,4
BLC187 ,0,4,45.25,79.0,5
BLC188 ,1,3,11.0,65.0,6
BLC189 ,4,1,2.0,22.0,8
BLC192 ,1,1,15.0,80.0,8
BLC195 ,4,2,2.5,18.0,6
BLC198 ,4,1,2.0,18.0,7
BLC199 ,4,1,1.0,24.0,7
BLC203 ,4,1,1.0,25.0,6
BLC208 ,1,1,3.0,64.0,1
BLC210 ,4,3,15.0,33.0,1
BLC212 ,4,1,1.0,17.0,2
BLC214 ,4,1,11.0,11.0,1
BLD003 ,1,4,33.0,98.0,5
BLD019 ,1,3,19.0,74.0,6
BLD020 ,1,2,10.5,79.0,7
BLD021 ,1,1,1.0,74.0,7
BLD022 ,0,5,19.2,70.0,3
BLD029 ,1,1,6.0,74.0,4
BLD031 ,1,2,1.0,71.0,1
BLD032 ,0,5,39.4,82.0,4
BLD036 ,0,3,10.333333333333334,56.0,1
BLD039 ,0,8,32.375,79.0,1
BLD042 ,1,1,1.0,91.0,8
BLD081 ,1,4,8.0,76.0,5
BLD102 ,0,4,1.75,84.0,1
BLD108 ,1,2,3.0,67.0,6
BLD132 ,4,1,1.0,23.0,6
BLF010 ,1,3,7.666666666666667,81.0,4
BLG001 ,1,4,19.0,83.0,5
BLG002 ,1,4,12.0,80.0,5
BLG007 ,3,4,94.5,85.0,3
BLG012 ,0,5,9.8,81.0,4
BLG015 ,3,8,43.875,87.0,1
BLG017 ,1,2,5.5,79.0,5
BLG018 ,1,2,2.0,85.0,7
BLG027 ,1,2,9.5,96.0,7
BLG028 ,1,4,34.5,73.0,5
BLG043 ,1,1,1.0,65.0,8
BLG048 ,1,1,3.0,76.0,6
BLG049 ,1,3,9.666666666666666,91.0,3
BLG052 ,1,2,1.0,96.0,6
BLG062 ,0,4,43.0,92.0,5
BLG064 ,1,1,2.0,87.0,8
BLG080 ,4,2,1.5,16.0,6
BLG085 ,1,1,6.0,70.0,4
BLG087 ,1,1,3.0,73.0,2
BLG088 ,1,1,1.0,77.0,1
BLK010 ,4,1,1.0,24.0,7
BLL001 ,0,6,20.5,84.0,3
BLL005 ,1,1,7.0,86.0,8
BLL011 ,1,1,1.0,76.0,8
BLL014 ,0,5,23.6,85.0,4
BLL015 ,4,4,3.25,23.0,4
BLL019 ,1,1,5.0,72.0,2
BLL023 ,1,2,2.0,78.0,6
BLL054 ,1,2,5.5,52.0,6
BLL060 ,1,2,11.0,75.0,4
BLL065 ,1,1,2.0,87.0,6
BLL068 ,1,1,16.0,73.0,4
BLL072 ,1,1,1.0,62.0,3
BLL073 ,0,5,23.2,81.0,3
BLL075 ,0,6,36.666666666666664,80.0,2
BLL077 ,0,3,4.666666666666667,74.0,1
BLL110 ,1,2,10.5,89.0,7
BLL136 ,1,1,8.0,86.0,8
BLL137 ,1,1,3.0,79.0,3
BLL139 ,1,4,21.0,85.0,5
BLL142 ,1,1,4.0,83.0,2
BLL156 ,1,1,2.0,86.0,5
BLL169 ,0,6,12.166666666666666,77.0,2
BLL226 ,1,4,16.75,85.0,5
BLL229 ,1,3,22.666666666666668,86.0,6
BLL230 ,0,6,10.833333333333334,78.0,3
BLL241 ,1,4,22.75,90.0,5
BLL316 ,1,2,6.5,85.0,5
BLL338 ,0,6,16.666666666666668,85.0,3
BLL339 ,0,4,67.0,64.0,5
BLL341 ,0,6,1.8333333333333333,44.0,2
BLL346 ,1,1,2.0,58.0,8
BLL359 ,1,2,55.5,76.0,7
BLL360 ,1,2,6.0,76.0,7
BLL362 ,1,3,2.0,79.0,6
BLL364 ,1,1,3.0,75.0,8
BLL371 ,1,2,4.0,75.0,7
BLL374 ,4,2,1.0,20.0,7
BLL379 ,4,1,1.0,18.0,7
BLL387 ,4,1,2.0,15.0,6
BLL388 ,4,1,1.0,17.0,6
BLL389 ,4,1,1.0,15.0,6
BLM001 ,0,5,39.4,81.0,4
BLM006 ,1,4,19.75,88.0,5
BLM007 ,3,3,103.66666666666667,79.0,6
BLM035 ,1,3,18.333333333333332,75.0,6
BLM039 ,4,1,2.0,20.0,7
BLM042 ,4,1,1.0,17.0,2
BLN003 ,1,2,25.0,71.0,7
BLN006 ,0,5,17.2,77.0,3
BLN009 ,0,6,5.166666666666667,78.0,3
BLN013 ,1,2,20.0,67.0,7
BLN022 ,0,7,53.0,84.0,2
BLN033 ,0,5,85.8,87.0,3
BLN035 ,0,3,3.6666666666666665,77.0,1
BLN039 ,1,2,7.5,76.0,7
BLN048 ,1,4,71.75,85.0,5
BLN052 ,1,3,10.0,86.0,6
BLN058 ,1,3,49.666666666666664,94.0,6
BLN062 ,1,2,36.0,92.0,2
BLN066 ,0,5,31.8,78.0,2
BLN069 ,1,4,23.25,86.0,5
BLN075 ,1,4,55.5,81.0,5
BLN076 ,1,4,26.0,93.0,5
BLN079 ,4,1,1.0,32.0,8
BLN080 ,1,3,2.6666666666666665,65.0,6
BLN086 ,0,6,5.166666666666667,89.0,2
BLN089 ,1,4,44.25,82.0,5
BLN090 ,0,8,42.25,85.0,1
BLN096 ,1,1,6.0,77.0,7
BLN099 ,4,2,19.0,43.0,5
BLN100 ,1,1,3.0,59.0,6
BLN114 ,1,1,1.0,92.0,7
BLN121 ,1,4,19.25,90.0,5
BLN123 ,1,1,1.0,91.0,6
BLN138 ,1,3,29.333333333333332,84.0,6
BLN176 ,0,5,20.2,95.0,3
BLN178 ,1,3,3.3333333333333335,55.0,6
BLN193 ,1,2,60.5,86.0,7
BLN196 ,1,2,2.5,70.0,6
BLN214 ,1,1,1.0,86.0,7
BLN217 ,1,1,18.0,73.0,7
BLN224 ,1,3,12.333333333333334,92.0,5
BLN235 ,1,3,30.0,71.0,6
BLN256 ,0,4,38.5,85.0,5
BLN273 ,1,2,2.0,65.0,6
BLN282 ,1,3,15.0,93.0,5
BLN283 ,1,2,6.5,71.0,7
BLN285 ,1,3,17.0,83.0,6
BLN295 ,1,3,60.0,76.0,6
BLN309 ,1,5,1.4,84.0,4
BLN347 ,1,4,6.5,68.0,5
BLN348 ,1,1,25.0,82.0,7
BLN370 ,1,4,13.25,81.0,5
BLN383 ,1,3,10.0,84.0,5
BLN388 ,0,8,63.125,78.0,1
BLN412 ,3,3,128.66666666666666,74.0,6
BLN425 ,1,2,50.0,78.0,7
BLN427 ,0,7,24.428571428571427,73.0,1
BLN432 ,0,7,19.0,79.0,1
BLN437 ,4,1,1.0,16.0,6
BLN440 ,4,1,1.0,26.0,7
BLN441 ,4,1,1.0,35.0,7
BLN443 ,4,1,1.0,15.0,6
BLN456 ,1,1,4.0,81.0,2
BLN469 ,1,1,3.0,78.0,1
BLP006 ,1,4,16.5,82.0,5
BLP013 ,1,3,18.0,72.0,5
BLP016 ,1,1,3.0,55.0,1
BLP018 ,1,1,8.0,82.0,1
BLP022 ,4,1,5.0,30.0,3
BLP026 ,1,1,3.0,76.0,6
BLP045 ,1,3,5.666666666666667,72.0,6
BLP055 ,4,4,12.25,26.0,5
BLP056 ,4,3,6.333333333333333,20.0,6
BLR002 ,1,1,11.0,84.0,8
BLR008 ,1,1,2.0,96.0,7
BLR010 ,3,5,61.6,76.0,4
BLR011 ,1,3,20.333333333333332,94.0,6
BLR013 ,1,1,1.0,83.0,7
BLR024 ,3,8,78.125,80.0,1
BLR027 ,1,2,7.5,91.0,7
BLR028 ,1,4,30.5,68.0,5
BLR030 ,1,1,19.0,87.0,8
BLR034 ,1,2,4.0,62.0,2
BLR036 ,1,3,17.666666666666668,87.0,6
