Metrica,Churned,Attivi,Differenza,Diff%
Numero giocatori,17433.0,13661.0,-3772.0,-21.6
Gare medie/anno,19.92156931435455,44.319856288781985,24.398286974427435,122.5
Punti totali medi,3333.4279093700234,11188.365141387205,7854.9372320171815,235.6
Ratio campionati,-1.2123150031377556,-1.504405951207317,-0.29209094806956126,24.1
Anni presenza medi,2.815407560374003,6.4673157162726005,3.6519081558985973,129.7
Eta media,68.98958875585633,70.97111143781241,1.9815226819560792,2.9
% Scuola Bridge,21.705959960993518,26.945318790718105,5.239358829724587,24.1
% Agonisti,10.250674009063271,34.660712978552084,24.410038969488813,238.1
Progressione categoria,0.26220386623071185,1.6914348462664714,1.4292309800357597,545.1
