Macroregione,ChurnRate,GareMedie,AnniPresenza,EtaMedia,Giocatori
Altro,90.41095890410958,42.31516391207113,4.219178082191781,74.01760563380282,292
Centro,57.23092470944921,30.61300933612455,4.355432036382011,71.08814867472327,9895
Isole,52.00831024930748,39.224445845974586,4.526315789473684,66.84407484407484,2888
Nazionale,21.428571428571427,3.2916666666666665,1.1071428571428572,49.62068965517241,84
Nord-Est,50.526506899055924,33.97408956380906,4.78921568627451,71.75192237275724,5508
Nord-Ovest,58.68129635273799,28.357312585368053,4.342984862338718,69.61591766024661,9843
Sud,55.22445820433437,22.316370736891248,4.18343653250774,65.25077760497668,2584
