Cluster,Numerosita,Percentuale,AnniPresenzaMedi,GareMedie,EtaMedia,AnniDaChurn,RatioChamp,Progressione,PctScuolaBridge,PctAgonisti,NomeCluster
1,9964,57.63202035976632,2.169309514251305,13.079919376421785,78.02057406663991,5.413890004014452,0.8142345036000563,-0.2876354877559213,27.589321557607388,4.415897230028102,Giocatori occasionali
0,3655,21.140609636184855,5.423255813953489,33.781943521594684,76.30013679890561,2.5616963064295484,0.22496097541044388,1.8065663474692202,17.373461012311903,20.27359781121751,Giocatori attivi persi (recuperabili)
4,2861,16.548094163919256,1.2656413841314227,3.5725620412443204,25.160433414889898,5.93393918210416,0.9116208230405628,0.16637539321915415,13.841314225795177,3.215658860538273,Abbandono precoce (mai ingaggiati)
3,807,4.6677077910810345,4.7905824039653035,102.32316929250014,79.7087980173482,4.032218091697645,0.1650229686889291,0.43866171003717475,0.37174721189591076,63.19702602230484,Giocatori attivi persi (recuperabili)
2,2,0.011568049048527967,1.5,3.75,89.0,1.0,-15073.0,0.0,0.0,0.0,Abbandono precoce (mai ingaggiati)
