MmbCode,AnnoInizio,AnnoFine,AnniPresenza,EtaUltima,Sesso,GareMedie,GareTotali,GareStd,PuntiCampMedi,PuntiCampTot,PuntiTotMedi,PuntiTotTot,CatInizio,CatFine,CatMax,CatLabelInizio,CatLabelFine,EraScuolaBridge,EraAgonista,Regione,Circolo,TipoTessera,Churned,AnniDaChurn,Progressione,RatioChamp,Macroregione,EtaAttuale,Cluster
BLD036 ,2022,2024,3,56.0,M,10.333333333333334,31.0,15.307950004273378,1016.6666666666666,3050.0,1792.6666666666667,5378.0,0.0,6.0,6.0,NC,3Q,False,False,LOM,MOTO CLUB MILANO SSD A RL,Ordinario Sportivo,True,1,6.0,0.5670198921732664,Nord-Ovest,57.0,0
BLD039 ,2017,2024,8,79.0,M,32.375,259.0,15.212189661114348,894.0,7152.0,5059.75,40478.0,9.0,6.0,9.0,2F,3Q,False,False,LOM,IL BRIDGE,Ordinario Sportivo,True,1,-3.0,0.17668420662565776,Nord-Ovest,80.0,0
BLD102 ,2017,2024,4,84.0,F,1.75,7.0,0.9574271077563381,0.0,0.0,79.75,319.0,0.0,0.0,0.0,NC,NC,False,False,VEN,VITTORIO VENETO,Ordinario Amatoriale,True,1,0.0,0.0,Nord-Est,85.0,0
BLG007 ,2017,2022,4,85.0,M,94.5,378.0,86.16843969807043,7304.0,29216.0,53800.75,215203.0,16.0,16.0,16.0,1P,1P,False,True,LIG,BRIDGE SAVONA,Ordinario Amatoriale,True,3,0.0,0.13575955837252096,Nord-Ovest,88.0,3
BLG012 ,2017,2021,5,81.0,M,9.8,49.0,10.2810505299799,0.0,0.0,165.2,826.0,0.0,0.0,5.0,NC,NC,False,False,VEN,C.LO CITTADINO VERONA BRIDGE,Ordinario Amatoriale,True,4,0.0,0.0,Nord-Est,85.0,0
BLG015 ,2017,2024,8,87.0,M,43.875,351.0,35.01606774039598,20201.875,161615.0,50599.75,404798.0,16.0,16.0,16.0,1P,1P,False,True,LOM,BCM BR.CLUB MERATE,Agonista,True,1,0.0,0.39924752778539474,Nord-Ovest,88.0,3
BLG062 ,2017,2020,4,92.0,M,43.0,172.0,20.83266665599966,180.0,720.0,6655.75,26623.0,8.0,9.0,10.0,3P,2F,False,False,LAZ,OLGIATA GOLF CLUB A.D.,Ordinario Sportivo,True,5,1.0,0.027043269230769232,Centro,97.0,0
BLL001 ,2017,2022,6,84.0,M,20.5,123.0,14.6935359937627,473.3333333333333,2840.0,3377.1666666666665,20263.0,7.0,8.0,8.0,3C,3P,False,False,SAR,BRIDGE SASSARI,Ordinario Sportivo,True,3,1.0,0.1401500197394394,Isole,87.0,0
BLL014 ,2017,2021,5,85.0,F,23.6,118.0,25.145576151681233,136.0,680.0,2416.4,12082.0,5.0,7.0,7.0,3F,3C,False,False,MAR,BRIDGE OSIMO,Ordinario Amatoriale,True,4,2.0,0.056277414549366876,Centro,89.0,0
BLL073 ,2017,2022,5,81.0,M,23.2,116.0,13.179529581893277,152.0,760.0,3336.2,16681.0,6.0,8.0,8.0,3Q,3P,False,False,PUG,BRIDGE BARI,Ordinario Sportivo,True,3,2.0,0.04555808656036447,Sud,84.0,0
BLL075 ,2017,2023,6,80.0,M,36.666666666666664,220.0,26.620793877468543,1600.0,9600.0,3409.5,20457.0,6.0,8.0,8.0,3Q,3P,False,False,LAZ,HOLIDAY BRIDGE,Ordinario Sportivo,True,2,2.0,0.46925408153289666,Centro,82.0,0
BLL077 ,2022,2024,3,74.0,F,4.666666666666667,14.0,3.0550504633038935,380.0,1140.0,387.3333333333333,1162.0,0.0,0.0,0.0,NC,NC,True,False,TOS,LIVORNO STANZE CIVICHE,Scuola Bridge,True,1,0.0,0.9802235597592434,Centro,75.0,0
BLL169 ,2017,2023,6,77.0,F,12.166666666666666,73.0,12.608198390994117,0.0,0.0,7329.5,43977.0,7.0,6.0,8.0,3C,3Q,False,False,LAZ,FANTONI VACATIONS S.S.D. A R.L,Ordinario Sportivo,True,2,-1.0,0.0,Centro,79.0,0
BLL230 ,2017,2022,6,78.0,M,10.833333333333334,65.0,11.232393630329497,58.333333333333336,350.0,800.6666666666666,4804.0,3.0,5.0,5.0,4C,3F,False,False,LOM,ARCA BRIDGE ASD,Ordinario Sportivo,True,3,2.0,0.07284079084287201,Nord-Ovest,81.0,0
BLL338 ,2017,2022,6,85.0,F,16.666666666666668,100.0,17.060676031935742,0.0,0.0,127.5,765.0,0.0,0.0,5.0,NC,NC,False,False,EMI,SPORT CLUB  DIL. RAPID,Ordinario Sportivo,True,3,0.0,0.0,Nord-Est,88.0,0
BLL339 ,2017,2020,4,64.0,M,67.0,268.0,34.45770354120154,460.0,1840.0,3331.5,13326.0,7.0,8.0,8.0,3C,3P,False,False,LAZ,ARCADIA BENBRIDGE SSD A R.L.,Ordinario Sportivo,True,5,1.0,0.13806558115104675,Centro,69.0,0
BLL341 ,2018,2023,6,44.0,F,1.8333333333333333,11.0,2.0412414523193148,4656.0,27936.0,12296.333333333334,73778.0,2.0,21.0,21.0,4Q,MS,False,True,EMI,BRIDGE REGGIO EMILIA,Agonista,True,2,19.0,0.3786443296873094,Nord-Est,46.0,0
BLM001 ,2017,2021,5,81.0,F,39.4,197.0,35.61319980007413,40.0,200.0,10135.8,50679.0,8.0,8.0,8.0,3P,3P,False,False,PIE,C.LO BIELLESE BRIDGE,Ordinario Sportivo,True,4,0.0,0.003946329913180742,Nord-Ovest,85.0,0
BLM007 ,2017,2019,3,79.0,F,103.66666666666667,311.0,28.53652630109932,23483.666666666668,70451.0,57286.0,171858.0,16.0,20.0,20.0,1P,HA,False,True,   ,E.T.D.SECONDARIO            ,Agonista,True,6,4.0,0.4099348884841643,Altro,85.0,3
BLN006 ,2017,2022,5,77.0,F,17.2,86.0,20.46216019876689,2328.0,11640.0,12144.0,60720.0,7.0,12.0,12.0,3C,2P,False,False,MAR,BR.FILARMONICA MACERATA,Ordinario Sportivo,True,3,5.0,0.19169644768696167,Centro,80.0,0
BLN009 ,2017,2022,6,78.0,M,5.166666666666667,31.0,2.48327740429189,420.8333333333333,2525.0,5978.5,35871.0,7.0,10.0,10.0,3C,2Q,False,True,EMI,"BR.MODENA ""C.LO PERROUX""",Ordinario Amatoriale,True,3,3.0,0.07038916146297948,Nord-Est,81.0,0
BLN022 ,2017,2023,7,84.0,F,53.0,371.0,58.69128271444293,3330.0,23310.0,13070.57142857143,91494.0,13.0,13.0,13.0,1F,1F,False,True,LOM,BERGAMASCA BRIDGE,Ordinario Sportivo,True,2,0.0,0.25476802011038857,Nord-Ovest,86.0,0
BLN033 ,2017,2022,5,87.0,M,85.8,429.0,51.620732269118385,24.0,120.0,10716.0,53580.0,8.0,12.0,12.0,3P,2P,False,False,LAZ,ROMA TOP BRIDGE,Ordinario Sportivo,True,3,4.0,0.0022395998581586757,Centro,90.0,0
BLN035 ,2017,2024,3,77.0,M,3.6666666666666665,11.0,4.618802153517007,0.0,0.0,48.333333333333336,145.0,0.0,0.0,0.0,NC,NC,True,False,LAZ,NOI BRIDGE ASD,Scuola Bridge,True,1,0.0,0.0,Centro,78.0,0
BLN066 ,2019,2023,5,78.0,F,31.8,159.0,17.16682847820179,0.0,0.0,929.8,4649.0,0.0,5.0,5.0,NC,3F,False,False,LAZ,TEX BRIDGE,Ordinario Sportivo,True,2,5.0,0.0,Centro,80.0,0
BLN086 ,2018,2023,6,89.0,F,5.166666666666667,31.0,3.65604522218567,0.0,0.0,38.166666666666664,229.0,0.0,0.0,0.0,NC,NC,True,False,TOS,BRIDGE PISTOIA,Ordinario Sportivo,True,2,0.0,0.0,Centro,91.0,0
BLN090 ,2017,2024,8,85.0,F,42.25,338.0,31.2215584858558,0.0,0.0,5550.25,44402.0,8.0,5.0,8.0,3P,3F,False,False,LOM,BRIDGE EXCELSIOR,Ordinario Amatoriale,True,1,-3.0,0.0,Nord-Ovest,86.0,0
BLN176 ,2017,2022,5,95.0,F,20.2,101.0,18.552627846210896,0.0,0.0,1240.8,6204.0,6.0,5.0,6.0,3Q,3F,False,False,LOM,ITALIANA ROTARIANI BRIDGISTI,Ordinario Sportivo,True,3,-1.0,0.0,Nord-Ovest,98.0,0
BLN256 ,2017,2020,4,85.0,F,38.5,154.0,27.135462651912412,0.0,0.0,839.0,3356.0,3.0,5.0,5.0,4C,3F,False,False,LAZ,TENNIS CLUB PARIOLI ASD,Ordinario Sportivo,True,5,2.0,0.0,Centro,90.0,0
BLN388 ,2017,2024,8,78.0,F,63.125,505.0,41.121553264159935,1485.0,11880.0,7552.75,60422.0,6.0,12.0,12.0,3Q,2P,False,True,PUG,BRIDGE BRINDISI,Ordinario Amatoriale,True,1,6.0,0.19661387220098306,Sud,79.0,0
