MmbCode,AnnoInizio,AnnoFine,AnniPresenza,EtaUltima,Sesso,GareMedie,GareTotali,GareStd,PuntiCampMedi,PuntiCampTot,PuntiTotMedi,PuntiTotTot,CatInizio,CatFine,CatMax,CatLabelInizio,CatLabelFine,EraScuolaBridge,EraAgonista,Regione,Circolo,TipoTessera,Churned,AnniDaChurn,Progressione,RatioChamp,Macroregione,EtaAttuale,Cluster
BCG008 ,2017,2019,3,88.0,M,13.0,39.0,11.135528725660043,0.0,0.0,1410.3333333333333,4231.0,6.0,5.0,6.0,3Q,3F,False,False,TOS,ABBADIA S.SALVATORE,Ordinario Sportivo,True,6,-1.0,0.0,Centro,94.0,1
BCG027 ,2024,2024,1,75.0,M,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NC,NC,True,False,LOM,CIRCOLO BRIDGE 2000,Scuola Bridge,True,1,0.0,0.0,Nord-Ovest,76.0,1
BCG028 ,2019,2019,1,101.0,M,30.0,30.0,0.0,0.0,0.0,196.0,196.0,0.0,0.0,0.0,NC,NC,False,False,LOM,IL BRIDGE,Ordinario Amatoriale,True,6,0.0,0.0,Nord-Ovest,107.0,1
BCG031 ,2017,2020,4,75.0,M,11.5,46.0,10.661457061146317,0.0,0.0,211.5,846.0,0.0,0.0,1.0,NC,NC,False,False,MAR,BR.FILARMONICA MACERATA,Ordinario Sportivo,True,5,0.0,0.0,Centro,80.0,1
BCL012 ,2017,2018,2,99.0,M,6.5,13.0,7.7781745930520225,0.0,0.0,208.0,416.0,2.0,1.0,2.0,4Q,4F,False,False,LOM,IL BRIDGE,Ordinario Sportivo,True,7,-1.0,0.0,Nord-Ovest,106.0,1
BCL026 ,2017,2020,4,78.0,M,22.25,89.0,19.397164741270824,7.0,28.0,424.25,1697.0,0.0,0.0,5.0,NC,NC,True,False,TOS,BRIDGE PISTOIA,Ordinario Sportivo,True,5,0.0,0.016489988221436984,Centro,83.0,1
BCL027 ,2017,2021,5,84.0,M,15.6,78.0,10.21273714534943,0.0,0.0,251.8,1259.0,1.0,0.0,5.0,4F,NC,False,False,VEN,PADOVA BRIDGE ASD,Ordinario Sportivo,True,4,-1.0,0.0,Nord-Est,88.0,1
BCL030 ,2017,2018,2,65.0,F,2.0,4.0,0.0,0.0,0.0,26.0,52.0,0.0,0.0,0.0,NC,NC,False,False,PIE,ALESSANDRIA BRIDGE A.S.D.,Ordinario Sportivo,True,7,0.0,0.0,Nord-Ovest,72.0,1
BCL051 ,2017,2020,4,78.0,F,17.75,71.0,15.903353943953666,0.0,0.0,428.0,1712.0,2.0,0.0,5.0,4Q,NC,False,False,PIE,C.PORTA SUSA A.S.D.,Ordinario Sportivo,True,5,-2.0,0.0,Nord-Ovest,83.0,1
BCL055 ,2018,2019,2,72.0,F,5.5,11.0,0.7071067811865476,0.0,0.0,23.5,47.0,0.0,0.0,0.0,NC,NC,False,False,LAZ,INCONTRI DI BRIDGE,Aderente,True,6,0.0,0.0,Centro,78.0,1
BCL074 ,2017,2017,1,76.0,F,3.0,3.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,NC,NC,True,False,LAZ,LATINA PROGETTO BRIDGE,Scuola Bridge,True,8,0.0,0.0,Centro,84.0,1
BCL078 ,2018,2019,2,72.0,F,2.0,4.0,1.4142135623730951,0.0,0.0,100.5,201.0,0.0,5.0,5.0,NC,3F,False,False,CAM,LA SEQUOIA SCSD,Ordinario Sportivo,True,6,5.0,0.0,Sud,78.0,1
BCL089 ,2017,2020,4,95.0,M,20.0,80.0,14.023789311975086,0.0,0.0,477.0,1908.0,1.0,0.0,5.0,4F,NC,True,False,LAZ,BRIDGE 3A S.S.D. A R.L.,Ordinario Sportivo,True,5,-1.0,0.0,Centro,100.0,1
BCL094 ,2017,2018,2,79.0,M,19.0,38.0,12.727922061357855,0.0,0.0,1483.5,2967.0,6.0,5.0,6.0,3Q,3F,False,False,LAZ,CIRCOLO TEVERE BRIDGE A.S.D.,Ordinario Sportivo,True,7,-1.0,0.0,Centro,86.0,1
BCM007 ,2019,2019,1,68.0,F,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,NC,NC,True,False,LAZ,BRIDGE VITERBO,Scuola Bridge,True,6,0.0,0.0,Centro,74.0,1
BCM019 ,2017,2017,1,88.0,F,2.0,2.0,0.0,0.0,0.0,155.0,155.0,0.0,0.0,0.0,NC,NC,False,False,MAR,BRIDGE FALCONARA,Ordinario Sportivo,True,8,0.0,0.0,Centro,96.0,1
BCN019 ,2017,2017,1,79.0,F,6.0,6.0,0.0,0.0,0.0,2768.0,2768.0,7.0,7.0,7.0,3C,3C,False,False,VAO,BRIDGE CLUB LA VALLEE  ASD,Ordinario Sportivo,True,8,0.0,0.0,Nord-Ovest,87.0,1
BCN027 ,2017,2020,4,92.0,F,20.75,83.0,20.854655755170516,172.5,690.0,1018.75,4075.0,3.0,0.0,5.0,4C,NC,False,False,VEN,PADOVA BRIDGE ASD,Ordinario Amatoriale,True,5,-3.0,0.1692836113837095,Nord-Est,97.0,1
BCN028 ,2020,2021,2,74.0,F,1.5,3.0,0.7071067811865476,0.0,0.0,5.0,10.0,0.0,0.0,0.0,NC,NC,True,False,ABR,PESCARA BRIDGE,Scuola Bridge,True,4,0.0,0.0,Centro,78.0,1
BCN031 ,2024,2024,1,89.0,M,3.0,3.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,NC,NC,True,False,LAZ,CIRCOLO TEVERE BRIDGE A.S.D.,Scuola Bridge,True,1,0.0,0.0,Centro,90.0,1
