Associazione,Iscritti,EtaMedia,Regione
C.LO BRIDGE SALERNO,26,61.0,CAM
ASD SPORTING STELLE DEL SUD,25,58.0,CAB
BRIDGE CHIARAVALLE,25,70.0,MAR
BRIDGE PINEROLO,25,72.7,PIE
OLGIATA GOLF CLUB A.D.,25,70.6,LAZ
BRIDGE SERSANTI DI IMOLA,25,67.1,EMI
BRIDGE PARTENOPE,24,73.1,FRI
PLANET BRIDGE,23,66.4,LOM
BRIDGE LEGNANO,22,69.6,LOM
MONTECATINI TERME BRIDGE,21,59.1,TOS
ASSOCIAZIONE BRIDGE CREMA,21,67.9,PIE
QUELLI CHE IL BRIDGE ...,20,63.8,LOM
BR.FILARMONICA MACERATA,20,69.4,MAR
HELVIA CLUANA,20,62.0,MAR
TARANTO BRIDGE ASD,20,63.8,PUG
DUE FIORI BRIDGE,20,62.2,CAM
BRIDGE.CSC BARBERIS,19,66.6,PIE
C.LO CANOTTIERI NAPOLI A.S.D.,19,69.5,CAM
BRIDGE CLUB LA VALLEE  ASD,19,68.0,VAO
ANZIO &  NETTUNO BRIDGE CLUB ASD,19,69.7,LAZ
CLUB DI B.CONEGLIANO ASD,18,68.5,VEN
BRIDGE CLUB TRENTO,18,65.0,TRT
BRIDGE CARRARA,18,63.7,TOS
PALLADIO BRIDGE,17,73.9,VEN
CIRCOLO BRIDGE CARLO STAMPA SASSUOLO,17,59.3,EMI
BRIDGE VITERBO,17,72.9,LAZ
CASTELVECCHIO VERONA,17,73.9,VEN
ANGOLO VERDE PG,16,69.5,UMB
BRIDGE CLUB SIRACUSA,16,63.4,SIC
GLI SPORT DELLA MENTE ASD,16,73.2,UMB
ASD POLISPORTIVA GRIFONE,16,70.5,TOS
ASS.SP.DILETTANTISTICA BRIDGE COSENZA,15,65.5,CAB
BRIDGE LA MARTESANA,15,71.4,LOM
BRIDGE SORRENTO,15,69.1,CAM
ASD SOC GINNASTICA ANGIULLI,14,64.6,PUG
ASS.POLISPORTIVA DIL.PALOCCO,14,73.2,LAZ
GS.ROVERETO BRIDGE,14,65.5,TRT
C.LO TENNIS GALATINA ASD,14,55.2,PUG
ASD CITTA' DI LECCO,13,71.4,LOM
BRIDGE ANZIO ASD,13,71.3,LAZ
S.STANZE CIVICHE,13,69.3,TOS
UNITRE MILANO,13,75.2,LOM
REALE C.LO CANOTTIERI TEVERE REMO ASD,12,72.2,LAZ
BRIDGE ARCOBALENO,12,61.6,CAM
BR.SPORTING CLUB S.SEVERO,12,64.5,PUG
ASD GOLF CLUB VILLA CAROLINA,12,73.5,PIE
MES AMIS,11,57.1,PUG
DOMUS NAONIS-ROBERTO RICCIO A.S.D.,11,67.4,FRI
BRIDGE MONTECATINI,11,60.0,TOS
ASSI NEL MONDO,11,68.7,LAZ
ARBAREE BRIDGE,10,63.5,SAR
ASD TENNIS CLUB PADOVA,10,72.7,LOM
B.RIVIERA PALME S.BENEDETTO T.,10,71.2,MAR
BRIDGE CITTA' DEL TRICOLORE,10,62.4,EMI
APD TENNIS CLUB PRESIDENT,10,69.0,EMI
CUP TREVISO BRIDGE,10,61.0,VEN
ESTE BRIDGE,10,75.3,VEN
BRIDGE CLUB PETRARCA,9,68.2,CAM
AURELIA BRIDGE CLUB,9,60.1,LAZ
BRIDGE SENIGALLIA,9,63.3,MAR
BRIDGE TIME ASD,9,73.6,LOM
MINCIO BRIDGE MANTOVA,9,71.3,LOM
E.T.D.SECONDARIO,9,76.8,   
CIRCOLO TENNIS BARI ASD,9,78.8,LAZ
KLOVER BRIDGE ASD,9,66.7,LAZ
APD C.LO CANOTTIERI ROMA,9,72.1,LAZ
BRIDGE  TACITUS,8,70.2,UMB
ASS.BRIDGE PISA,8,68.8,TOS
BRIDGE RICCIONE,7,64.6,EMI
CIRCOLO BELLUNO BRIDGE,7,72.9,CAM
ASD CLUB VILLA BORGHESE,6,76.4,LAZ
AMICI BRIDGE OLGIATA,6,76.3,LAZ
ASD TENNIS CLUB PARMA,6,73.0,LAZ
BRIDGE LAMEZIA TERME,6,63.9,CAB
C.BR.S.DONA' DI PIAVE,6,44.2,VEN
CASTELLI ROMANI BRIDGE ASD,6,64.8,LAZ
BRIDGE BRINDISI,5,73.3,PUG
U.S.PARMENSE 2015 A.S.D.,5,65.3,EMI
PICCOLO SLAM,5,76.0,VEN
SOC.CANOTTIERI CAPRERA ASD,5,75.6,PIE
CIRCOLO UNIONE,4,66.2,LAZ
LA SEQUOIA SCSD,4,62.8,CAM
SOC.CANOTTIERI MILANO,4,57.7,LOM
LA ROTONDA BR.CLUB,4,79.5,LAZ
LEGA NAVALE IT. SEZ.ANCONA ASD,4,49.5,MAR
ABBADIA S.SALVATORE,3,39.7,TOS
A.S.GIOCO BRIDGE ETRURIA,3,59.8,TOS
FANFULLA BRIDGE,3,69.4,LOM
BELLAVISTA BRIDGE CLUB A.S.D.,3,57.7,VEN
ARONA BRIDGE CLUB 50,3,65.7,PIE
ASD CLUB IPPOCAMPO,3,53.0,CAM
CIRCOLO 1871 CATANZARO,3,52.3,CAB
"ASS.BRIDGE ""CIRCOLO UNIONE""",3,66.2,LAZ
LAFENICE BRIDGE R.CONERO,2,76.0,MAR
A.SP.BLUE BRIDGE RM,2,56.5,LAZ
TOP ONE,2,83.0,PIE
BRIDGE ADDAURA ASD,2,64.0,SIC
IL CIRCOLO DI BOLOGNA ASD,2,71.0,EMI
BR.CL.NUOVA CASALE A.S.D.,2,62.5,PIE
BCM BR.CLUB MERATE,2,61.0,LOM
A.BR.ASCOLI PICENO-C.LO CITT.,2,57.0,MAR
BRIDGE OSIMO,1,72.0,MAR
HOLIDAY BRIDGE,1,73.0,LAZ
ABP SOCIALE 1806,1,70.0,PIE
S.C.CANOTTIERI TICINO A R.L.,1,77.0,LOM
GLI AMICI,1,75.0,TOS
SAN PIERO A GRADO BRIDGE,1,38.0,TOS
FLEGREA BRIDGE,1,82.0,CAM
MINCIO BRIDGE,1,79.0,LOM
C.LO BRIDGE RESEGONE,1,62.0,LOM
ALPI APUANE BRIDGE,1,64.0,TOS
LUCANIA BRIDGE,1,40.0,CAB
ANTICO TIRO A VOLO - BR. A.S.D,1,85.0,LAZ
VERSILIA BRIDGE AND GAMES,1,,TOS
