Anno,Iscritti,EtaMedia
2017,1672,69.2
2018,1977,68.5
2019,1981,67.5
2020,1150,67.4
2021,1042,65.4
2022,1156,66.1
2023,1366,65.5
2024,1592,64.7
2025,1936,64.5
