FasciaEta,TassoChurn,N
30-39,0.6943396226415094,530
40-49,0.5364667747163695,617
50-59,0.4515250544662309,1836
60-69,0.40717410323709535,5715
70-79,0.46418338108882523,10121
80+,0.6805866775310654,9818
<30,0.8945868945868946,2457
