FasciaGare,TassoChurn,N
10-19 gare,0.6073476321936717,4709
20-29 gare,0.47619047619047616,3381
30+ gare,0.33746433666191156,11216
5-9 gare,0.6861513247746517,3661
<5 gare,0.8202288667404947,8127
