Anno,Tesserati,EtaMedia,Nuovi,Usciti
2025,13661,70.97111143781241,0,0
2026,13726,70.31428685133862,1500,1435
2027,13880,69.79553639553363,1500,1346
2028,14047,69.37209870001132,1500,1333
2029,14159,69.14394325007898,1500,1388
2030,14487,68.96486910886804,1500,1172
2031,14691,68.89878135921424,1500,1296
2032,14864,68.83271532956246,1500,1327
2033,15083,68.91253203424861,1500,1281
2034,15279,69.09363669154479,1500,1304
2035,15404,69.37592496881186,1500,1375
