AnnoCarriera,PuntiMedi,GareMedie,NumGiocatori
1,4771.156852671515,34.02912582990832,25304
2,9677.346372762082,58.975835661802755,19326
3,11623.95712514026,62.055749128919864,16933
4,13096.990902777778,22.170972222222222,14400
5,15045.780418163396,46.09183015565994,10857
6,15650.454183627318,50.10583446404342,11055
7,17119.49559867487,48.982394699479414,10565
8,19139.579960255203,51.90827319318063,9561
9,22175.0650269946,54.84391121775645,8335
