Cluster,NumGiocatori,GareMedie,AnniMedi,CampMedi,EtaMedia,CircoliMedi,Percentuale
Occasionale,11788,3.6089981202298813,2.0651510010179845,249.99647415181434,62.226187397638135,1.1549881235154393,37.9
Sociale,8090,18.725897786803227,4.674042027194067,1164.3322194753468,73.66811038237842,1.4328800988875154,26.0
Regolare Fedele,7011,59.00134029744641,7.168164313222079,1561.496275127747,76.20310939951504,1.5839395236057623,22.5
Agonista Attivo,1556,80.73546206185988,8.101542416452443,9967.869129738443,72.51928020565553,1.755784061696658,5.0
Regolare,1078,49.702104611575365,2.5538033395176254,297.7072113896627,74.11627906976744,1.1614100185528757,3.5
Super Agonista,1038,125.04251383919014,8.446050096339114,16938.339896244303,72.74084778420038,1.8015414258188824,3.3
Nuovo Entusiasta,533,67.65572232645404,1.673545966228893,293.58348968105065,73.02071563088512,1.0731707317073171,1.7
