Metrica,Città Metro,Provincia,Differenza,Diff%
Tesserati,6123.0,7538.0,-1415.0,-18.8
Gare Medie,49.68555366053945,40.474975373446505,9.210578287092943,22.8
Punti Camp Medi,3375.8927262965067,3322.660639345811,53.2320869506957,1.6
% Agonisti,20.980986671720043,22.163599071625196,-1.1826123999051532,-5.3
Età Media,74.98949536560247,71.62880316304009,3.360692202562376,4.7
Circoli,173.0,221.0,-48.0,-21.7
