Cluster,Retention
Agonista Attivo,80.7840616966581
Nuovo Entusiasta,45.96622889305816
Occasionale,22.141160502205633
Regolare,38.961038961038966
Regolare Fedele,65.73955213236343
Sociale,44.746600741656366
Super Agonista,86.70520231213872
