Anno,TotaleAllievi,EtaMedia,GareMedie,PuntiMedi,RimastiSB,Convertiti,Persi,TassoSuccesso,TassoConversione,TassoChurn,EtaMediaPersi,GareMediePersi,EtaMediaRimasti,GareMedieRimasti
2017,1672,69.15398442180947,21.4366028708134,295.5316985645933,881,444,347,79.2,26.6,20.8,69.11271676300578,5.579250720461095,69.16477702191987,25.589433962264152
2018,1977,68.50733434496712,25.51997976732423,343.1987860394537,972,427,578,70.8,21.6,29.2,66.98269896193771,6.420415224913495,69.13724088634739,33.411007862759114
2019,1981,67.46087834427057,24.854114083796063,317.4977284199899,811,376,794,59.9,19.0,40.1,66.45717884130983,7.133501259445844,68.13226621735467,36.70766638584667
2020,1150,67.38260869565218,10.94,383.57130434782607,603,93,454,60.5,8.1,39.5,68.73348017621146,4.209251101321586,66.5014367816092,15.330459770114942
2021,1042,65.44241842610364,30.689059500959694,452.0345489443378,557,203,282,72.9,19.5,27.1,61.290780141843975,8.170212765957446,66.9828947368421,39.044736842105266
2022,1156,66.07006920415225,26.432525951557093,511.0865051903114,592,255,309,73.3,22.1,26.7,65.59546925566343,6.414239482200648,66.24321133412043,33.735537190082646
2023,1366,65.46339677891655,21.275256222547583,507.9304538799414,718,283,365,73.3,20.7,26.7,65.44109589041096,5.673972602739726,65.47152847152847,26.964035964035965
2024,1592,64.70854271356784,21.149497487437184,462.35804020100505,915,311,366,77.0,19.5,23.0,64.8688524590164,5.202185792349726,64.66068515497552,25.910277324632954
