Profilo,Giocatori,EtaMedia,GareMedie,PuntiTotMedi,PuntiCampMedi,%
Solo Gare (<20%),68540,76.36633706813328,58.46787277502189,7871.524044353662,567.3384884738839,69.5
Orientato Gare (20-40%),15931,71.2213711702662,74.20306321009353,31279.42960266148,9472.46180402988,16.1
Bilanciato (40-60%),9381,68.88967061080908,62.079415840528725,32939.10062893082,15820.752691610702,9.5
Selettivo (60-80%),3698,67.59464575446187,46.68415359653867,21905.72742022715,14814.41400757166,3.7
Molto Selettivo (>80%),1109,67.77727682596934,34.56627592425609,14730.213706041479,12924.302975653742,1.1
