Tipo,Tesserati,GareMedie,EtaMedia,PctAgonisti
Altra Provincia,4980,42.085943775100404,70.89879518072289,21.72690763052209
Città Metropolitana,6123,48.70325004082966,71.90788829005389,19.304262616364525
