FasciaEta,0,F,M,Totale
<18,,34.0,139.0,95.0
18-30,,1800.0,2198.0,2032.0
30-40,,6314.0,5492.0,5748.0
40-50,,6733.0,6893.0,6830.0
50-60,,5456.0,5188.0,5317.0
60-70,,4323.0,4913.0,4615.0
70-80,0.0,3410.0,3860.0,3655.0
80-90,,1568.0,1923.0,1738.0
90+,,670.0,728.0,696.0
