FasciaEta,0,F,M,Totale
<18,,3.8,5.3,4.7
18-30,,10.7,13.6,12.4
30-40,,26.1,36.2,33.1
40-50,,31.8,32.5,32.2
50-60,,37.9,37.4,37.6
60-70,,45.5,46.7,46.1
70-80,163.0,46.4,49.2,47.9
80-90,,46.4,46.5,46.4
90+,,43.8,40.2,42.2
