Anno,Scuola Bridge,Progressione,Progressione %,Completamento,Completamento %,Churn Reale,Churn Reale %,Successo Totale,Successo %
2017->2018,1672,881,52.69138755980861,444,26.555023923444978,347,20.75358851674641,1325,79.24641148325358
2018->2019,1977,972,49.165402124430955,427,21.59838138593829,578,29.236216489630756,1399,70.76378351036925
2019->2020,1981,811,40.93891973750631,376,18.980312973245837,794,40.08076728924785,1187,59.91923271075215
2020->2021,1150,603,52.43478260869565,93,8.08695652173913,454,39.47826086956522,696,60.52173913043478
2021->2022,1042,557,53.454894433781185,203,19.481765834932823,282,27.06333973128599,760,72.93666026871402
2022->2023,1156,592,51.21107266435986,255,22.058823529411764,309,26.73010380622837,847,73.26989619377161
2023->2024,1366,718,52.56222547584187,283,20.717423133235723,365,26.720351390922403,1001,73.2796486090776
2024->2025,1592,915,57.4748743718593,311,19.535175879396984,366,22.98994974874372,1226,77.01005025125627
