MmbCode,Eta,GareMedie,AnniPresenza,EngagementScore,RischioChurn,Regione
DLR310 ,65.0,59.0,9,45.2478352465036,ALTO,SIC
TTL015 ,75.0,32.22222222222222,9,45.25563811927597,ALTO,PUG
SNL009 ,69.0,63.44444444444444,9,45.26433444017437,ALTO,SIC
CNP037 ,59.0,83.55555555555556,9,45.26765146113599,ALTO,EMI
CCD065 ,51.0,79.66666666666667,9,45.26857014728759,ALTO,CAB
FGT019 ,79.0,76.77777777777777,9,45.268829377211766,ALTO,PIE
PSP026 ,61.0,37.666666666666664,9,45.27349739196214,ALTO,PUG
LBG004 ,74.0,96.77777777777777,9,45.275375235943834,ALTO,VEN
ZZN014 ,88.0,114.77777777777777,9,45.277241167619586,ALTO,PIE
MLZ066 ,62.0,2.0,1,45.27997419066054,ALTO,LAZ
CBL033 ,68.0,2.0,1,45.27997419066054,ALTO,LAZ
PRD184 ,77.0,128.77777777777777,9,45.28177994063328,ALTO,PIE
PRL107 ,64.0,84.33333333333333,9,45.28232399949058,ALTO,PIE
LLT032 ,78.0,34.888888888888886,9,45.28530755956867,ALTO,SAR
CPR232 ,9.0,8.0,1,45.288653730312184,ALTO,MAR
GLT133 ,57.0,107.33333333333333,9,45.290287426029764,ALTO,SIC
BNK003 ,59.0,37.333333333333336,9,45.29251908412357,ALTO,LOM
NGR044 ,81.0,46.22222222222222,9,45.29434734564883,ALTO,MAR
CSR089 ,87.0,123.44444444444444,9,45.295300686919404,ALTO,PIE
GRR008 ,82.0,18.857142857142858,7,45.29718258786066,ALTO,CAB
SPN195 ,61.0,26.333333333333332,9,45.29965941840358,ALTO,CAM
DLR103 ,89.0,47.0,9,45.300855204028096,ALTO,PUG
BNC014 ,85.0,20.555555555555557,9,45.30780191955591,ALTO,TOS
RMD013 ,81.0,48.44444444444444,9,45.30810970028609,ALTO,PIE
PPD019 ,77.0,39.111111111111114,9,45.30897850581735,ALTO,TOS
LBN123 ,75.0,48.333333333333336,9,45.31071412219167,ALTO,PUG
MRP037 ,74.0,2.6,5,45.31406956422139,ALTO,SIC
BRR024 ,66.0,15.4,5,45.31588840980363,ALTO,EMI
CCV012 ,78.0,58.0,5,45.317446521910696,ALTO,TOS
SPL070 ,61.0,28.25,8,45.32357429599191,ALTO,LAZ
MRN936 ,82.0,69.55555555555556,9,45.32936717761585,ALTO,LOM
BTS024 ,70.0,87.22222222222223,9,45.33012889253803,ALTO,EMI
GHN005 ,74.0,37.888888888888886,9,45.336753831949146,ALTO,TOS
MRR565 ,74.0,28.25,8,45.33783580532126,ALTO,TOS
CTZ031 ,71.0,92.5,4,45.34054504910482,ALTO,LOM
LND064 ,77.0,131.22222222222223,9,45.34094923753484,ALTO,EMI
NNV002 ,61.0,55.55555555555556,9,45.348743003363204,ALTO,LOM
CNV008 ,80.0,68.66666666666667,9,45.35140547671201,ALTO,ABR
MSP034 ,41.0,113.44444444444444,9,45.35285169904658,ALTO,SIC
MLN037 ,70.0,25.333333333333332,9,45.3529256286223,ALTO,TOS
CSL378 ,23.0,12.5,4,45.353066882024955,ALTO,LOM
PNF004 ,77.0,26.444444444444443,9,45.35483119116652,ALTO,PIE
MNR019 ,74.0,19.77777777777778,9,45.36236169967579,ALTO,PUG
KLN012 ,70.0,17.444444444444443,9,45.36434187892854,ALTO,TRT
BRS046 ,70.0,50.44444444444444,9,45.37510027680915,ALTO,EMI
CRR355 ,84.0,19.77777777777778,9,45.381243412698254,ALTO,PIE
BLL087 ,78.0,70.11111111111111,9,45.381504101342685,ALTO,LAZ
BRL453 ,76.0,47.77777777777778,9,45.38200997792973,ALTO,SIC
LYT002 ,67.0,70.11111111111111,9,45.383834856747534,ALTO,LAZ
LNT089 ,69.0,126.22222222222223,9,45.384302232191274,ALTO,SIC
MRV015 ,57.0,62.111111111111114,9,45.386642713546074,ALTO,EMI
PRR132 ,72.0,17.0,7,45.38702699742621,ALTO,LAZ
GRT026 ,65.0,44.333333333333336,9,45.38732237277562,ALTO,LAZ
CNS036 ,83.0,61.888888888888886,9,45.38787093197075,ALTO,MAR
GBC011 ,79.0,83.55555555555556,9,45.3955156927599,ALTO,LOM
SRC028 ,85.0,39.0,9,45.40171752599373,ALTO,PUG
MLL104 ,77.0,85.0,9,45.40280222685887,ALTO,VEN
PSN183 ,69.0,33.111111111111114,9,45.403010649285285,ALTO,LAZ
MSV028 ,56.0,63.888888888888886,9,45.40316158509461,ALTO,LOM
MBD009 ,62.0,36.5,8,45.407588736593496,ALTO,CAM
LPG003 ,85.0,88.77777777777777,9,45.41076372133896,ALTO,EMI
MLP037 ,84.0,161.77777777777777,9,45.41106438347671,ALTO,TRT
GRL004 ,77.0,45.666666666666664,9,45.414894277110946,ALTO,PIE
DLC079 ,80.0,23.5,2,45.41905953739969,ALTO,TOS
TMM006 ,68.0,43.666666666666664,9,45.4289690725067,ALTO,PIE
SBS001 ,84.0,77.88888888888889,9,45.42948721274115,ALTO,PIE
BGT022 ,85.0,40.888888888888886,9,45.432327753619774,ALTO,LOM
RBC012 ,75.0,41.44444444444444,9,45.433686780175805,ALTO,FRI
MRR007 ,80.0,42.888888888888886,9,45.433880414403646,ALTO,EMI
NNZ002 ,77.0,24.88888888888889,9,45.43473177599921,ALTO,TOS
MSL043 ,74.0,67.22222222222223,9,45.436495511171906,ALTO,PIE
DSZ003 ,64.0,37.55555555555556,9,45.43689950598025,ALTO,TOS
CRR234 ,76.0,20.857142857142858,7,45.43791447718801,ALTO,LOM
VRR037 ,52.0,34.5,4,45.43813089876827,ALTO,TOS
RSN461 ,73.0,12.5,2,45.44550307388653,ALTO,EMI
